,,,time(s),Vout,Vin
,,,-0.00849,2.12,2.88
,,,-0.00848,2.16,2.8
,,,-0.00847,2.16,2.68
,,,-0.00846,2.16,2.6
,,,-0.00845,2.16,2.44
,,,-0.00844,2.2,2.32
,,,-0.00843,2.2,2.2
,,,-0.00842,2.16,2.04
,,,-0.00841,2.16,1.92
,,,-0.0084,2.2,1.76
,,,-0.00839,2.16,1.64
,,,-0.00838,2.12,1.52
,,,-0.00837,2.12,1.36
,,,-0.00836,2.08,1.24
,,,-0.00835,2.08,1.2
,,,-0.00834,2.08,1.12
,,,-0.00833,2.04,1.04
,,,-0.00832,2,0.96
,,,-0.00831,2,0.96
,,,-0.0083,1.96,0.92
,,,-0.00829,1.92,0.88
,,,-0.00828,1.88,0.92
,,,-0.00827,1.88,0.96
,,,-0.00826,1.84,1
,,,-0.00825,1.88,1.08
,,,-0.00824,1.84,1.12
,,,-0.00823,1.84,1.2
,,,-0.00822,1.8,1.32
,,,-0.00821,1.8,1.4
,,,-0.0082,1.8,1.52
,,,-0.00819,1.8,1.68
,,,-0.00818,1.8,1.8
,,,-0.00817,1.76,1.92
,,,-0.00816,1.8,2.04
,,,-0.00815,1.8,2.2
,,,-0.00814,1.8,2.32
,,,-0.00813,1.84,2.44
,,,-0.00812,1.8,2.56
,,,-0.00811,1.84,2.68
,,,-0.0081,1.84,2.76
,,,-0.00809,1.92,2.84
,,,-0.00808,1.92,2.92
,,,-0.00807,1.92,2.96
,,,-0.00806,1.96,2.96
,,,-0.00805,1.96,3
,,,-0.00804,2,3
,,,-0.00803,2,3
,,,-0.00802,2.04,2.96
,,,-0.00801,2.04,2.88
,,,-0.008,2.04,2.84
,,,-0.00799,2.08,2.76
,,,-0.00798,2.08,2.68
,,,-0.00797,2.12,2.56
,,,-0.00796,2.12,2.44
,,,-0.00795,2.12,2.32
,,,-0.00794,2.12,2.2
,,,-0.00793,2.12,2.04
,,,-0.00792,2.12,1.88
,,,-0.00791,2.12,1.76
,,,-0.0079,2.08,1.6
,,,-0.00789,2.08,1.48
,,,-0.00788,2.08,1.36
,,,-0.00787,2.04,1.24
,,,-0.00786,2.04,1.12
,,,-0.00785,2,1.04
